po_id,supplier_name,region,category,po_date,promised_date,actual_date,ordered_qty,delivered_qty,unit_cost,po_value,defect_rate,previous_delay_count,supplier_rating
PO45,Supplier_50,China,Raw Material,10-02-2026,03-03-2026,03-03-2026,313,285,170.53,53375.89,0.002,1,3.15
PO46,Supplier_7,Poland,Mechanical,28-08-2025,22-09-2025,22-09-2025,124,96,17.45,2163.7999999999997,0.042,4,3.21
PO47,Supplier_10,France,Electronics,18-05-2025,15-06-2025,16-06-2025,226,224,88.4,19978.4,0.037,4,3.1
PO48,Supplier_13,Germany,Raw Material,02-03-2026,15-03-2026,20-03-2026,322,306,106,34132,0.083,4,4.74
PO49,Supplier_49,Poland,Packaging,13-11-2025,26-11-2025,27-11-2025,125,117,70.67,8833.75,0.095,3,3.93
PO50,Supplier_47,France,Electronics,27-08-2025,03-09-2025,05-09-2025,74,55,137.78,10195.72,0.075,0,2.78
PO51,Supplier_42,India,Raw Material,22-03-2026,09-04-2026,16-04-2026,171,167,150.04,25656.84,0.055,2,2.79
PO52,Supplier_12,Germany,Mechanical,01-11-2025,17-11-2025,17-11-2025,302,297,25.98,7845.96,0.07,1,3.49
PO53,Supplier_27,India,Mechanical,18-04-2026,27-04-2026,30-04-2026,214,209,197.46,42256.44,0.037,0,4.7
PO54,Supplier_17,Germany,Electronics,19-04-2026,27-04-2026,29-04-2026,119,92,25.87,3078.53,0.078,2,3.12
PO55,Supplier_19,China,Electronics,24-09-2025,11-10-2025,11-10-2025,269,240,20.7,5568.3,0.012,4,4.56
PO56,Supplier_39,Germany,Raw Material,27-10-2025,13-11-2025,15-11-2025,239,215,81.23,19413.97,0.029,0,3.06
PO57,Supplier_6,India,Packaging,03-10-2025,20-10-2025,23-10-2025,366,352,179.32,65631.12,0.053,2,4.8
PO58,Supplier_36,China,Raw Material,14-08-2025,07-09-2025,07-09-2025,451,437,129.59,58445.090000000004,0.07,0,4.07
PO59,Supplier_3,Germany,Raw Material,06-06-2025,22-06-2025,22-06-2025,273,258,179.15,48907.950000000004,0.046,3,3.34
PO60,Supplier_28,Poland,Mechanical,16-03-2026,28-03-2026,28-03-2026,365,348,60.53,22093.45,0.036,3,4.97
PO61,Supplier_17,Germany,Electronics,22-05-2025,16-06-2025,18-06-2025,269,254,40.9,11002.1,0.091,4,4.85
PO62,Supplier_5,Germany,Mechanical,27-05-2025,10-06-2025,15-06-2025,291,265,18.59,5409.69,0.003,0,4.44
PO63,Supplier_18,Germany,Raw Material,01-06-2025,26-06-2025,26-06-2025,112,88,194.28,21759.36,0.084,4,2.66
PO64,Supplier_41,China,Raw Material,14-11-2025,19-11-2025,22-11-2025,360,355,141.43,50914.8,0.053,4,4.99
PO65,Supplier_23,France,Electronics,23-12-2025,01-01-2026,01-01-2026,132,116,55.81,7366.92,0.021,0,4.89
PO66,Supplier_13,Poland,Mechanical,22-01-2026,27-01-2026,27-01-2026,337,336,78.05,26302.85,0.011,1,3.75
PO67,Supplier_3,China,Mechanical,25-09-2025,11-10-2025,11-10-2025,103,92,116.58,12007.74,0.088,0,3.97
PO68,Supplier_47,France,Electronics,02-07-2025,20-07-2025,20-07-2025,124,106,181.6,22518.399999999998,0.062,1,3.38
PO69,Supplier_34,India,Mechanical,12-07-2025,31-07-2025,01-08-2025,484,483,76.17,36866.28,0.051,3,3.24
PO70,Supplier_42,China,Electronics,07-09-2025,16-09-2025,19-09-2025,437,428,186.05,81303.85,0.049,3,2.67
PO71,Supplier_5,India,Mechanical,07-12-2025,01-01-2026,01-01-2026,254,225,130.35,33108.9,0.024,2,3.84
PO72,Supplier_23,China,Mechanical,06-04-2026,26-04-2026,28-04-2026,409,406,75.68,30953.120000000003,0.09,2,3.79
PO73,Supplier_32,India,Electronics,29-11-2025,22-12-2025,23-12-2025,326,322,75.57,24635.819999999996,0.035,4,3.87
PO74,Supplier_5,Germany,Packaging,08-04-2026,26-04-2026,26-04-2026,482,469,72.72,35051.04,0.032,1,4.5
PO75,Supplier_22,China,Raw Material,21-10-2025,10-11-2025,13-11-2025,386,361,174.98,67542.28,0.008,2,2.96
PO76,Supplier_15,India,Packaging,19-08-2025,15-09-2025,20-09-2025,265,264,152.02,40285.3,0.004,2,4.28
PO77,Supplier_47,China,Raw Material,25-06-2025,12-07-2025,12-07-2025,343,341,85.46,29312.78,0.01,4,2.96
PO78,Supplier_39,Germany,Electronics,04-12-2025,15-12-2025,20-12-2025,175,164,54.31,9504.25,0.034,0,4.2
PO79,Supplier_3,Germany,Electronics,01-06-2025,23-06-2025,30-06-2025,277,263,150,41550,0.056,0,3.91
PO80,Supplier_42,Germany,Electronics,13-03-2026,23-03-2026,25-03-2026,331,330,56.43,18678.329999999998,0.05,4,4.83
PO81,Supplier_22,France,Mechanical,19-04-2025,29-04-2025,06-05-2025,161,158,171.66,27637.26,0.009,0,2.7
PO82,Supplier_31,France,Packaging,13-08-2025,10-09-2025,17-09-2025,55,54,119.44,6569.2,0.092,0,3.73
PO83,Supplier_38,China,Mechanical,25-09-2025,24-10-2025,24-10-2025,384,374,118.61,45546.24,0.028,3,3.01
PO84,Supplier_26,Poland,Raw Material,30-08-2025,23-09-2025,23-09-2025,69,53,110.67,7636.2300000000005,0.071,4,3.77
PO85,Supplier_36,France,Raw Material,27-09-2025,04-10-2025,04-10-2025,439,422,96.31,42280.090000000004,0.055,1,4.97
PO86,Supplier_13,India,Packaging,26-12-2025,31-12-2025,07-01-2026,150,142,154.44,23166,0.06,2,3.37
PO87,Supplier_49,France,Mechanical,17-07-2025,02-08-2025,02-08-2025,383,363,148.86,57013.380000000005,0.094,3,3.45
PO88,Supplier_1,Poland,Packaging,22-07-2025,03-08-2025,04-08-2025,410,406,48.31,19807.100000000002,0.016,4,2.97
PO89,Supplier_19,China,Mechanical,07-05-2025,15-05-2025,15-05-2025,286,277,84.56,24184.16,0.082,2,4.06
PO90,Supplier_33,Germany,Electronics,15-09-2025,06-10-2025,06-10-2025,499,486,22.66,11307.34,0.023,2,3.58
PO91,Supplier_3,China,Packaging,05-11-2025,19-11-2025,21-11-2025,64,50,127.81,8179.84,0.053,2,4.47
PO92,Supplier_38,Germany,Electronics,07-10-2025,16-10-2025,17-10-2025,488,488,16.37,7988.56,0.057,1,3.73
PO93,Supplier_10,Germany,Mechanical,16-09-2025,26-09-2025,29-09-2025,208,194,170.83,35532.64,0.013,4,3.85
PO94,Supplier_29,Poland,Packaging,22-06-2025,09-07-2025,09-07-2025,460,442,141.85,65251,0.054,2,4
PO95,Supplier_20,China,Mechanical,21-03-2026,04-04-2026,09-04-2026,183,176,90.48,16557.84,0.029,2,2.88
PO96,Supplier_13,India,Electronics,27-09-2025,02-10-2025,09-10-2025,153,126,122.66,18766.98,0.01,3,4.48
PO97,Supplier_37,India,Electronics,22-11-2025,05-12-2025,10-12-2025,100,72,29.81,2981,0.084,2,3.63
PO98,Supplier_46,France,Electronics,02-10-2025,20-10-2025,22-10-2025,231,209,184.96,42725.76,0.087,2,3.98
PO99,Supplier_21,Germany,Electronics,21-07-2025,03-08-2025,03-08-2025,485,461,10.88,5276.8,0.033,3,3.84
PO100,Supplier_11,India,Raw Material,14-02-2026,08-03-2026,09-03-2026,467,441,95.92,44794.64,0.022,3,4.78
PO101,Supplier_24,Germany,Raw Material,28-10-2025,21-11-2025,26-11-2025,393,393,78.85,30988.05,0.058,1,2.53
PO102,Supplier_21,Germany,Raw Material,22-05-2025,12-06-2025,14-06-2025,410,394,115.89,47514.9,0.086,4,2.96
PO103,Supplier_7,Germany,Packaging,02-08-2025,19-08-2025,24-08-2025,264,246,49.88,13168.320000000002,0.09,4,4.06
PO104,Supplier_29,China,Mechanical,04-05-2025,09-05-2025,14-05-2025,420,406,110.25,46305,0.053,0,3.5
PO105,Supplier_38,China,Raw Material,11-11-2025,19-11-2025,19-11-2025,313,285,24.35,7621.55,0.075,1,3.18
PO106,Supplier_46,India,Packaging,05-01-2026,10-01-2026,17-01-2026,104,77,169.56,17634.24,0.087,0,3.88
PO107,Supplier_3,China,Raw Material,17-02-2026,01-03-2026,06-03-2026,298,284,118.19,35220.62,0.089,3,3.1
PO108,Supplier_34,China,Packaging,18-10-2025,15-11-2025,20-11-2025,337,314,163.3,55032.100000000006,0.096,3,4.17
PO109,Supplier_21,India,Raw Material,27-01-2026,10-02-2026,17-02-2026,210,188,171.14,35939.399999999994,0.012,2,3.96
PO110,Supplier_18,India,Electronics,03-12-2025,22-12-2025,25-12-2025,453,443,59.29,26858.37,0.038,3,4.58
PO111,Supplier_37,Germany,Mechanical,10-08-2025,04-09-2025,06-09-2025,404,385,195.16,78844.64,0.078,0,4.67
PO112,Supplier_46,Germany,Mechanical,06-09-2025,29-09-2025,29-09-2025,63,55,112.91,7113.33,0.063,0,2.85
PO113,Supplier_43,Poland,Mechanical,04-03-2026,21-03-2026,21-03-2026,264,260,13.49,3561.36,0.091,4,4.54
PO114,Supplier_41,India,Electronics,05-04-2026,14-04-2026,14-04-2026,427,416,49.22,21016.94,0.001,4,3.16
PO115,Supplier_31,China,Packaging,08-01-2026,14-01-2026,16-01-2026,286,262,103.91,29718.26,0.057,0,3.55
PO116,Supplier_28,India,Mechanical,23-10-2025,29-10-2025,31-10-2025,359,349,45.03,16165.77,0.009,2,3.11
PO117,Supplier_21,China,Packaging,18-03-2026,02-04-2026,04-04-2026,162,136,66.45,10764.9,0.057,1,3.49
PO118,Supplier_24,France,Packaging,02-01-2026,07-01-2026,07-01-2026,85,71,59.83,5085.55,0.06,2,4.62
PO119,Supplier_45,China,Mechanical,12-05-2025,25-05-2025,25-05-2025,499,479,75.43,37639.57000000001,0.035,0,3.74
PO120,Supplier_43,India,Electronics,23-02-2026,06-03-2026,07-03-2026,180,163,161.89,29140.199999999997,0.069,1,2.76
PO121,Supplier_37,Poland,Raw Material,29-12-2025,19-01-2026,22-01-2026,66,57,141.21,9319.86,0.052,3,3.85
PO122,Supplier_24,China,Packaging,05-09-2025,30-09-2025,30-09-2025,264,260,141.53,37363.92,0.085,0,4.76
PO123,Supplier_12,China,Mechanical,06-01-2026,19-01-2026,22-01-2026,75,61,18.39,1379.25,0.059,0,2.95
PO124,Supplier_21,India,Raw Material,01-01-2026,19-01-2026,26-01-2026,166,160,66.5,11039,0.092,1,3.55
PO125,Supplier_29,India,Raw Material,03-11-2025,27-11-2025,04-12-2025,451,425,167.49,75537.99,0.004,2,3.9
PO126,Supplier_45,India,Raw Material,30-07-2025,08-08-2025,09-08-2025,473,448,147.71,69866.83,0.007,0,3.85
PO127,Supplier_22,Germany,Electronics,08-11-2025,30-11-2025,30-11-2025,65,53,127.01,8255.65,0.023,2,4.68
PO128,Supplier_30,China,Raw Material,15-10-2025,01-11-2025,04-11-2025,323,321,23.31,7529.129999999999,0.001,4,4.42
PO129,Supplier_29,France,Packaging,27-07-2025,25-08-2025,27-08-2025,288,264,155.97,44919.36,0.042,3,4.34
PO130,Supplier_30,Germany,Raw Material,20-10-2025,06-11-2025,11-11-2025,425,396,172.04,73117,0.072,4,2.61
PO131,Supplier_1,France,Mechanical,02-05-2025,21-05-2025,21-05-2025,448,432,84.41,37815.68,0.012,2,4.87
PO132,Supplier_37,China,Packaging,17-07-2025,27-07-2025,03-08-2025,489,476,124.15,60709.350000000006,0.09,1,2.92
PO133,Supplier_4,China,Packaging,03-10-2025,27-10-2025,30-10-2025,112,91,125.47,14052.64,0.051,1,2.62
PO134,Supplier_26,Germany,Electronics,15-11-2025,22-11-2025,27-11-2025,54,50,129.66,7001.639999999999,0.022,0,4.82
PO135,Supplier_49,France,Raw Material,15-11-2025,29-11-2025,30-11-2025,227,210,142.24,32288.480000000003,0.015,2,3.06
PO136,Supplier_47,Germany,Electronics,30-05-2025,07-06-2025,12-06-2025,406,405,96.91,39345.46,0.039,2,2.82
PO137,Supplier_9,China,Electronics,11-03-2026,17-03-2026,19-03-2026,219,211,72.52,15881.88,0.093,2,2.72
PO138,Supplier_24,Poland,Raw Material,04-12-2025,14-12-2025,15-12-2025,438,423,104.22,45648.36,0.008,3,2.77
PO139,Supplier_28,France,Electronics,19-04-2026,10-05-2026,10-05-2026,89,77,101.31,9016.59,0.059,1,3.93
PO140,Supplier_40,India,Packaging,16-10-2025,02-11-2025,05-11-2025,338,333,109.04,36855.520000000004,0.087,3,4.63
PO141,Supplier_48,Germany,Electronics,30-01-2026,14-02-2026,17-02-2026,394,374,139.23,54856.619999999995,0.062,3,2.9
PO142,Supplier_43,France,Mechanical,22-07-2025,20-08-2025,21-08-2025,80,58,10.98,878.4000000000001,0.082,4,4.36
PO143,Supplier_31,India,Packaging,21-07-2025,27-07-2025,01-08-2025,126,98,59.15,7452.9,0.019,4,4.04
PO144,Supplier_49,Germany,Electronics,04-09-2025,16-09-2025,23-09-2025,403,376,11.72,4723.16,0.082,2,4.4
PO145,Supplier_10,Germany,Packaging,14-10-2025,20-10-2025,27-10-2025,461,434,44.1,20330.100000000002,0.075,3,2.93
PO146,Supplier_36,India,Packaging,03-07-2025,24-07-2025,26-07-2025,455,439,120.61,54877.55,0.035,1,2.69
PO147,Supplier_18,India,Mechanical,30-05-2025,18-06-2025,21-06-2025,253,250,133.04,33659.119999999995,0.059,3,2.56
PO148,Supplier_11,Germany,Mechanical,21-04-2025,10-05-2025,17-05-2025,465,447,57.98,26960.699999999997,0,1,3.18
PO149,Supplier_29,Poland,Electronics,30-09-2025,07-10-2025,10-10-2025,88,74,161.01,14168.88,0.069,3,4.6
PO150,Supplier_47,Poland,Mechanical,28-04-2025,13-05-2025,14-05-2025,244,228,193.01,47094.439999999995,0.003,4,4.86
PO151,Supplier_16,France,Raw Material,04-07-2025,28-07-2025,02-08-2025,196,172,94.04,18431.84,0.031,1,4.74
PO152,Supplier_15,India,Electronics,04-06-2025,11-06-2025,11-06-2025,330,307,80.02,26406.6,0.086,2,4.92
PO153,Supplier_46,Germany,Electronics,22-06-2025,17-07-2025,24-07-2025,76,63,110.77,8418.52,0.002,4,2.83
PO154,Supplier_24,Poland,Mechanical,22-02-2026,01-03-2026,03-03-2026,95,81,101.49,9641.55,0.012,0,4.02
PO155,Supplier_20,Poland,Electronics,05-01-2026,15-01-2026,15-01-2026,493,472,120.57,59441.009999999995,0.027,2,4.96
PO156,Supplier_17,France,Mechanical,16-04-2026,08-05-2026,13-05-2026,144,139,65.42,9420.48,0.069,0,4.88
PO157,Supplier_41,China,Mechanical,16-10-2025,08-11-2025,08-11-2025,450,439,197.47,88861.5,0.014,3,4.26
PO158,Supplier_10,India,Packaging,09-11-2025,14-11-2025,14-11-2025,274,274,177.68,48684.32,0.008,4,2.7
PO159,Supplier_22,India,Mechanical,17-12-2025,28-12-2025,28-12-2025,223,198,162.11,36150.530000000006,0.02,3,2.76
PO160,Supplier_11,France,Raw Material,20-12-2025,30-12-2025,30-12-2025,311,303,19.87,6179.570000000001,0.054,1,4.84
PO161,Supplier_8,India,Packaging,20-05-2025,13-06-2025,18-06-2025,160,134,102.04,16326.400000000001,0.066,3,3.99
PO162,Supplier_22,India,Raw Material,29-10-2025,05-11-2025,12-11-2025,346,319,149,51554,0.008,3,3.12
PO163,Supplier_13,Germany,Electronics,12-05-2025,04-06-2025,04-06-2025,196,174,99.33,19468.68,0.074,4,4.47
PO164,Supplier_32,China,Packaging,05-04-2026,27-04-2026,02-05-2026,451,433,53.41,24087.91,0.1,0,3.73
PO165,Supplier_28,India,Raw Material,16-12-2025,23-12-2025,26-12-2025,142,121,15.82,2246.44,0.026,3,2.94
PO166,Supplier_21,India,Electronics,23-03-2026,20-04-2026,22-04-2026,342,339,149.72,51204.24,0.077,3,2.6
PO167,Supplier_49,China,Packaging,31-01-2026,13-02-2026,15-02-2026,299,279,85.15,25459.850000000002,0.061,1,4.48
PO168,Supplier_39,India,Raw Material,20-06-2025,13-07-2025,13-07-2025,295,267,50.03,14758.85,0.062,4,4.33
PO169,Supplier_35,India,Packaging,16-02-2026,24-02-2026,01-03-2026,136,127,55.13,7497.68,0.097,4,4.64
PO170,Supplier_45,Germany,Mechanical,23-07-2025,18-08-2025,20-08-2025,430,416,122.65,52739.5,0.058,3,3.98
PO171,Supplier_6,Germany,Raw Material,13-01-2026,11-02-2026,11-02-2026,77,76,173.02,13322.54,0.001,0,4.43
PO172,Supplier_36,France,Raw Material,05-11-2025,24-11-2025,01-12-2025,444,435,23.96,10638.24,0.017,1,3.62
PO173,Supplier_12,Germany,Electronics,24-01-2026,02-02-2026,04-02-2026,313,303,190.23,59541.99,0.025,3,3.45
PO174,Supplier_43,France,Raw Material,10-04-2026,19-04-2026,21-04-2026,214,198,170.39,36463.46,0.081,3,4.66
PO175,Supplier_6,Poland,Raw Material,12-11-2025,06-12-2025,06-12-2025,383,382,33.36,12776.88,0.023,1,2.6
PO176,Supplier_35,France,Electronics,10-10-2025,19-10-2025,19-10-2025,228,215,140.76,32093.28,0.04,1,4.91
PO177,Supplier_43,India,Electronics,25-09-2025,17-10-2025,20-10-2025,234,228,96.4,22557.600000000002,0.052,1,3.36
PO178,Supplier_38,Poland,Raw Material,10-07-2025,27-07-2025,29-07-2025,385,368,48.35,18614.75,0.067,1,2.97
PO179,Supplier_8,France,Packaging,27-01-2026,06-02-2026,09-02-2026,135,121,141.6,19116,0.084,1,3.44
PO180,Supplier_30,India,Mechanical,05-06-2025,26-06-2025,26-06-2025,185,171,118.42,21907.7,0.003,0,4.22
PO181,Supplier_33,Germany,Raw Material,08-07-2025,28-07-2025,02-08-2025,102,87,133.73,13640.46,0.011,3,2.9
PO182,Supplier_6,Germany,Electronics,15-02-2026,28-02-2026,28-02-2026,225,213,158.65,35696.25,0.057,0,2.77
PO183,Supplier_34,France,Mechanical,27-06-2025,15-07-2025,17-07-2025,151,133,163.49,24686.99,0.076,0,3.29
PO184,Supplier_45,China,Electronics,28-05-2025,25-06-2025,30-06-2025,359,353,11.09,3981.31,0.032,3,4.02
PO185,Supplier_15,France,Raw Material,09-02-2026,10-03-2026,10-03-2026,354,338,94.44,33431.76,0.001,2,4.01
PO186,Supplier_46,India,Mechanical,01-02-2026,19-02-2026,19-02-2026,52,32,174.03,9049.56,0.052,3,2.56
PO187,Supplier_26,Germany,Packaging,30-11-2025,09-12-2025,09-12-2025,353,349,56.75,20032.75,0.048,2,4.41
PO188,Supplier_6,India,Packaging,27-02-2026,14-03-2026,17-03-2026,70,48,91.86,6430.2,0.09,4,4.75
PO189,Supplier_25,Poland,Raw Material,12-02-2026,07-03-2026,14-03-2026,373,353,101.04,37687.920000000006,0.019,4,4.04
PO190,Supplier_46,China,Electronics,10-10-2025,29-10-2025,31-10-2025,340,333,69.15,23511.000000000004,0.061,1,3.5
PO191,Supplier_13,Poland,Mechanical,06-09-2025,05-10-2025,10-10-2025,312,301,44.47,13874.64,0.053,0,3.92
PO192,Supplier_42,Poland,Packaging,06-02-2026,14-02-2026,19-02-2026,312,291,114.54,35736.48,0.004,1,2.78
PO193,Supplier_13,France,Mechanical,17-05-2025,30-05-2025,30-05-2025,58,44,126.09,7313.22,0.041,4,4.76
PO194,Supplier_24,Germany,Mechanical,01-01-2026,10-01-2026,12-01-2026,99,76,166.3,16463.7,0.042,1,4.52
PO195,Supplier_19,Poland,Mechanical,30-01-2026,04-02-2026,11-02-2026,291,287,41.92,12198.720000000001,0.074,1,3.68
PO196,Supplier_21,Germany,Mechanical,18-12-2025,07-01-2026,10-01-2026,192,190,125.35,24067.199999999997,0.055,1,3.14
PO197,Supplier_13,France,Electronics,14-05-2025,12-06-2025,12-06-2025,369,367,123.44,45549.36,0.068,1,3.57
PO198,Supplier_39,Germany,Electronics,07-02-2026,22-02-2026,01-03-2026,329,302,165.55,54465.950000000004,0.06,1,4.76
PO199,Supplier_45,Poland,Packaging,05-01-2026,14-01-2026,14-01-2026,213,211,86.23,18366.99,0.037,0,4.04
PO200,Supplier_13,Germany,Packaging,14-02-2026,20-02-2026,22-02-2026,54,43,54.41,2938.14,0.054,1,4.2
PO201,Supplier_44,France,Mechanical,15-06-2025,22-06-2025,27-06-2025,375,374,198.89,74583.75,0.066,0,4.99
PO202,Supplier_23,Poland,Packaging,21-10-2025,16-11-2025,18-11-2025,491,488,192.72,94625.52,0.063,0,2.93
PO203,Supplier_42,Germany,Raw Material,29-08-2025,18-09-2025,20-09-2025,194,179,136.33,26448.020000000004,0.08,4,2.8
PO204,Supplier_40,France,Packaging,12-09-2025,24-09-2025,26-09-2025,370,346,137.6,50912,0.009,1,4.47
PO205,Supplier_32,Germany,Electronics,04-03-2026,24-03-2026,26-03-2026,87,68,144.66,12585.42,0.004,0,3.07
PO206,Supplier_45,India,Electronics,20-06-2025,15-07-2025,15-07-2025,298,290,106.85,31841.3,0.083,1,4
PO207,Supplier_6,China,Mechanical,01-04-2026,16-04-2026,23-04-2026,391,364,171.77,67162.07,0.021,0,2.79
PO208,Supplier_18,France,Raw Material,21-04-2025,19-05-2025,19-05-2025,207,194,163.13,33767.909999999996,0.079,3,4.55
PO209,Supplier_15,France,Raw Material,16-08-2025,22-08-2025,23-08-2025,179,177,75.76,13561.04,0.098,1,4.56
PO210,Supplier_25,France,Mechanical,09-03-2026,14-03-2026,16-03-2026,144,131,36.45,5248.8,0.09,4,3.29
PO211,Supplier_35,Germany,Mechanical,31-12-2025,29-01-2026,01-02-2026,166,165,22.95,3809.7,0.003,0,3.08
PO212,Supplier_45,Poland,Packaging,01-02-2026,18-02-2026,25-02-2026,383,364,93.51,35814.33,0.011,4,2.54
PO213,Supplier_2,Poland,Raw Material,21-10-2025,13-11-2025,20-11-2025,54,36,46.44,2507.7599999999998,0.021,2,4.39
PO214,Supplier_31,Germany,Raw Material,16-04-2026,09-05-2026,09-05-2026,148,128,33.06,4892.88,0.03,2,2.94
PO215,Supplier_16,Poland,Electronics,15-11-2025,23-11-2025,25-11-2025,152,145,164.65,25026.8,0.062,3,2.93
