po_id,supplier_name,region,category,po_date,promised_date,actual_date,ordered_qty,delivered_qty,unit_cost,po_value,defect_rate,previous_delay_count,supplier_rating,delay_days,delivery_risk,fill_rate,cost_impact
PO134,Supplier_26,Germany,Electronics,15-11-2025,22-11-2025,27-11-2025,54,50,129.66,7001.639999999999,0.022,0,4.82,5,1,0.9259259259259259,154.03607999999997
PO135,Supplier_49,France,Raw Material,15-11-2025,29-11-2025,30-11-2025,227,210,142.24,32288.480000000003,0.015,2,3.06,1,0,0.9251101321585903,484.3272
PO136,Supplier_47,Germany,Electronics,30-05-2025,07-06-2025,12-06-2025,406,405,96.91,39345.46,0.039,2,2.82,5,1,0.9975369458128078,1534.4729399999999
PO137,Supplier_9,China,Electronics,11-03-2026,17-03-2026,19-03-2026,219,211,72.52,15881.88,0.093,2,2.72,2,0,0.9634703196347032,1477.0148399999998
PO138,Supplier_24,Poland,Raw Material,04-12-2025,14-12-2025,15-12-2025,438,423,104.22,45648.36,0.008,3,2.77,1,0,0.9657534246575342,365.18688000000003
PO139,Supplier_28,France,Electronics,19-04-2026,10-05-2026,10-05-2026,89,77,101.31,9016.59,0.059,1,3.93,0,0,0.8651685393258427,531.97881
PO140,Supplier_40,India,Packaging,16-10-2025,02-11-2025,05-11-2025,338,333,109.04,36855.52,0.087,3,4.63,3,0,0.985207101,3206.4302399999997
PO141,Supplier_48,Germany,Electronics,30-01-2026,14-02-2026,17-02-2026,394,374,139.23,54856.62,0.062,3,2.9,3,0,0.949238579,3401.11044
PO142,Supplier_43,France,Mechanical,22-07-2025,20-08-2025,21-08-2025,80,58,10.98,878.4000000000001,0.082,4,4.36,1,0,0.725,72.0288
PO143,Supplier_31,India,Packaging,21-07-2025,27-07-2025,01-08-2025,126,98,59.15,7452.9,0.019,4,4.04,5,1,0.7777777777777778,141.6051
PO144,Supplier_49,Germany,Electronics,04-09-2025,16-09-2025,23-09-2025,403,376,11.72,4723.16,0.082,2,4.4,7,1,0.9330024813895782,387.29912
PO145,Supplier_10,Germany,Packaging,14-10-2025,20-10-2025,27-10-2025,461,434,44.1,20330.1,0.075,3,2.93,7,1,0.9414316702819957,1524.7575
PO146,Supplier_36,India,Packaging,03-07-2025,24-07-2025,26-07-2025,455,439,120.61,54877.55,0.035,1,2.69,2,0,0.9648351648351648,1920.7142500000002
PO147,Supplier_18,India,Mechanical,30-05-2025,18-06-2025,21-06-2025,253,250,133.04,33659.119999999995,0.059,3,2.56,3,0,0.9881422924901185,1985.8880799999997
PO148,Supplier_11,Germany,Mechanical,21-04-2025,10-05-2025,17-05-2025,465,447,57.98,26960.7,0,1,3.18,7,1,0.9612903225806452,0
PO149,Supplier_29,Poland,Electronics,30-09-2025,07-10-2025,10-10-2025,88,74,161.01,14168.88,0.069,3,4.6,3,0,0.8409090909090909,977.65272
PO150,Supplier_47,Poland,Mechanical,28-04-2025,13-05-2025,14-05-2025,244,228,193.01,47094.44,0.003,4,4.86,1,0,0.9344262295081968,141.28332
PO151,Supplier_16,France,Raw Material,04-07-2025,28-07-2025,02-08-2025,196,172,94.04,18431.84,0.031,1,4.74,5,1,0.8775510204081632,571.38704
PO152,Supplier_15,India,Electronics,04-06-2025,11-06-2025,11-06-2025,330,307,80.02,26406.6,0.086,2,4.92,0,0,0.9303030303030303,2270.9675999999995
PO153,Supplier_46,Germany,Electronics,22-06-2025,17-07-2025,24-07-2025,76,63,110.77,8418.52,0.002,4,2.83,7,1,0.8289473684210527,16.837040000000002
PO154,Supplier_24,Poland,Mechanical,22-02-2026,01-03-2026,03-03-2026,95,81,101.49,9641.55,0.012,0,4.02,2,0,0.8526315789473684,115.6986
PO155,Supplier_20,Poland,Electronics,05-01-2026,15-01-2026,15-01-2026,493,472,120.57,59441.01,0.027,2,4.96,0,0,0.9574036511156186,1604.90727
PO156,Supplier_17,France,Mechanical,16-04-2026,08-05-2026,13-05-2026,144,139,65.42,9420.48,0.069,0,4.88,5,1,0.9652777777777778,650.0131200000001
PO157,Supplier_41,China,Mechanical,16-10-2025,08-11-2025,08-11-2025,450,439,197.47,88861.5,0.014,3,4.26,0,0,0.9755555555555555,1244.061
PO158,Supplier_10,India,Packaging,09-11-2025,14-11-2025,14-11-2025,274,274,177.68,48684.32,0.008,4,2.7,0,0,1,389.47456
PO159,Supplier_22,India,Mechanical,17-12-2025,28-12-2025,28-12-2025,223,198,162.11,36150.530000000006,0.02,3,2.76,0,0,0.8878923766816144,723.0106000000002
PO160,Supplier_11,France,Raw Material,20-12-2025,30-12-2025,30-12-2025,311,303,19.87,6179.570000000001,0.054,1,4.84,0,0,0.9742765273311897,333.69678000000005
PO161,Supplier_8,India,Packaging,20-05-2025,13-06-2025,18-06-2025,160,134,102.04,16326.4,0.066,3,3.99,5,1,0.8375,1077.5424
PO162,Supplier_22,India,Raw Material,29-10-2025,05-11-2025,12-11-2025,346,319,149,51554,0.008,3,3.12,7,1,0.9219653179190751,412.432
PO163,Supplier_13,Germany,Electronics,12-05-2025,04-06-2025,04-06-2025,196,174,99.33,19468.68,0.074,4,4.47,0,0,0.8877551020408163,1440.68232
PO164,Supplier_32,China,Packaging,05-04-2026,27-04-2026,02-05-2026,451,433,53.41,24087.91,0.1,0,3.73,5,1,0.9600886917960089,2408.791
PO165,Supplier_28,India,Raw Material,16-12-2025,23-12-2025,26-12-2025,142,121,15.82,2246.44,0.026,3,2.94,3,0,0.852112676,58.40744
PO166,Supplier_21,India,Electronics,23-03-2026,20-04-2026,22-04-2026,342,339,149.72,51204.24,0.077,3,2.6,2,0,0.9912280701754386,3942.72648
